#1:iter	2:compliance	3:duration	4:volume	5:physical_volume	6:physical_greyness	7:nObj
0 	1.04322 	31.7 	0.5 	0.125 	0.4375 	1
1 	1.04316 	14.95 	0.499998 	0.124998 	0.437495 	2
2 	4.34626 	15.438 	0.199874 	0.00887019 	0.0344134 	3
3 	4.24555 	15.522 	0.199985 	0.00884596 	0.0344057 	4
4 	3.19756 	14.591 	0.19999 	0.00912056 	0.0354944 	5
5 	2.11311 	14.802 	0.199991 	0.0105097 	0.0392892 	6
6 	1.40182 	14.615 	0.199992 	0.0123061 	0.0438102 	7
7 	0.925911 	14.364 	0.199994 	0.0157628 	0.0493474 	8
8 	0.708239 	14.38 	0.199995 	0.0190589 	0.0523422 	9
9 	0.606444 	14.449 	0.199995 	0.0215177 	0.0534941 	10
10 	0.520408 	14.722 	0.199996 	0.0243962 	0.0543531 	11
11 	0.625432 	14.387 	0.2 	0.0208566 	0.0540021 	12
12 	0.549195 	14.412 	0.199998 	0.0230873 	0.0563365 	13
13 	0.489762 	14.437 	0.199998 	0.0255118 	0.0571306 	14
14 	0.431859 	14.592 	0.199998 	0.0286338 	0.0579526 	15
15 	0.386301 	14.596 	0.199998 	0.0319519 	0.0575764 	16
16 	0.344685 	14.481 	0.199998 	0.0360532 	0.0571729 	17
17 	0.323343 	14.429 	0.199998 	0.038598 	0.0569876 	18
18 	0.303363 	14.381 	0.199998 	0.0414027 	0.0573492 	19
19 	0.283973 	14.533 	0.199997 	0.0447835 	0.0569758 	20
20 	0.268861 	14.634 	0.199997 	0.0478259 	0.055601 	21
21 	0.261225 	14.631 	0.199997 	0.0495663 	0.0546767 	22
22 	0.251024 	14.864 	0.199997 	0.0521119 	0.0531031 	23
23 	0.242341 	14.429 	0.199997 	0.0545598 	0.0512494 	24
24 	0.238106 	14.407 	0.199997 	0.0558476 	0.0505477 	25
25 	0.238 	14.351 	0.199998 	0.0558686 	0.0504814 	26
26 	0.232519 	14.297 	0.199999 	0.0572502 	0.0462434 	27
27 	0.227362 	14.436 	0.199999 	0.0590205 	0.0410843 	28
28 	0.223292 	14.368 	0.199999 	0.0607994 	0.0365245 	29
29 	0.221578 	14.367 	0.199999 	0.0616479 	0.0347892 	30
30 	0.220001 	14.414 	0.199999 	0.062446 	0.0336779 	31
31 	0.218003 	14.534 	0.199999 	0.0634653 	0.0330885 	32
32 	0.215292 	14.425 	0.199999 	0.0649215 	0.0328102 	33
33 	0.212075 	14.626 	0.199998 	0.0668448 	0.0330287 	34
34 	0.212013 	14.393 	0.2 	0.0668596 	0.0329725 	35
35 	0.210456 	14.618 	0.2 	0.0674906 	0.0307028 	36
36 	0.209717 	14.35 	0.2 	0.0680149 	0.0292748 	37
37 	0.209176 	14.467 	0.2 	0.0684263 	0.0285393 	38
38 	0.20811 	14.383 	0.2 	0.0692048 	0.0280107 	39
39 	0.206417 	14.468 	0.2 	0.0704279 	0.0277987 	40
40 	0.204649 	14.518 	0.2 	0.0717641 	0.0277316 	41
41 	0.204639 	14.408 	0.2 	0.0717667 	0.0277218 	42
42 	0.204301 	14.44 	0.2 	0.0719926 	0.0269886 	43
43 	0.203976 	14.458 	0.2 	0.0723006 	0.0263158 	44
44 	0.203559 	14.454 	0.2 	0.0726471 	0.0261261 	45
45 	0.202655 	14.389 	0.2 	0.0733687 	0.026069 	46
46 	0.201765 	14.452 	0.2 	0.0741013 	0.0260871 	47
47 	0.201707 	14.44 	0.2 	0.0741155 	0.0260305 	48
48 	0.201554 	14.337 	0.2 	0.0742489 	0.0256452 	49
49 	0.201342 	14.394 	0.2 	0.0744497 	0.025443 	50
50 	0.200983 	14.441 	0.2 	0.0747484 	0.0254229 	51
51 	0.200461 	14.357 	0.2 	0.0751903 	0.0253962 	52
52 	0.200415 	14.425 	0.2 	0.0752022 	0.0253492 	53
53 	0.200345 	14.391 	0.2 	0.0752768 	0.02516 	54
54 	0.200198 	14.332 	0.2 	0.0754086 	0.0251292 	55
55 	0.199833 	14.365 	0.2 	0.0757317 	0.0251427 	56
56 	0.199201 	14.475 	0.2 	0.0763105 	0.0251847 	57
57 	0.19917 	14.382 	0.2 	0.0763195 	0.0251496 	58
58 	0.199101 	14.379 	0.2 	0.0764004 	0.0249838 	59
59 	0.198899 	14.448 	0.2 	0.0765991 	0.0249624 	60
60 	0.198295 	14.423 	0.2 	0.0771985 	0.025017 	61
61 	0.197252 	14.375 	0.2 	0.0782846 	0.0252373 	62
62 	0.197251 	14.401 	0.2 	0.0782851 	0.0252352 	63
63 	0.197211 	14.387 	0.2 	0.0783321 	0.0251792 	64
64 	0.197115 	14.395 	0.2 	0.0784378 	0.0251174 	65
65 	0.19704 	14.389 	0.2 	0.0785188 	0.0250876 	66
66 	0.197028 	14.429 	0.2 	0.0785238 	0.0250691 	67
67 	0.19701 	14.371 	0.2 	0.078544 	0.0250576 	68
68 	0.196983 	14.451 	0.2 	0.0785741 	0.0250502 	69
69 	0.196935 	14.325 	0.2 	0.0786263 	0.0250412 	70
70 	0.196931 	14.341 	0.2 	0.078629 	0.0250322 	71
71 	0.196911 	14.282 	0.2 	0.0786512 	0.0250286 	72
72 	0.196858 	14.339 	0.2 	0.0787087 	0.0250247 	73
73 	0.196758 	14.48 	0.2 	0.0788178 	0.0250261 	74
74 	0.196756 	14.482 	0.2 	0.0788194 	0.0250214 	75
75 	0.196728 	14.847 	0.2 	0.0788498 	0.0250215 	76
76 	0.196615 	14.349 	0.2 	0.0789714 	0.0250366 	77
77 	0.196399 	14.441 	0.2 	0.079205 	0.0250729 	78
78 	0.196398 	14.463 	0.2 	0.0792061 	0.0250699 	79
79 	0.196333 	14.438 	0.2 	0.0792779 	0.0250741 	80
80 	0.196187 	14.44 	0.2 	0.0794376 	0.0251001 	81
81 	0.195753 	14.488 	0.2 	0.0799215 	0.0252031 	82
82 	0.195753 	14.389 	0.2 	0.0799216 	0.0252028 	83
83 	0.195683 	14.397 	0.2 	0.0800029 	0.0252068 	84
84 	0.195399 	15.036 	0.2 	0.0803352 	0.02526 	85
85 	0.194806 	14.701 	0.2 	0.0810484 	0.0253574 	86
86 	0.194806 	14.548 	0.2 	0.0810486 	0.0253569 	87
87 	0.194712 	14.136 	0.2 	0.081165 	0.0253387 	88
88 	0.194334 	14.109 	0.2 	0.0816369 	0.0253738 	89
89 	0.193747 	14.338 	0.2 	0.0823944 	0.0255136 	90
90 	0.193747 	14.111 	0.2 	0.0823946 	0.025513 	91
91 	0.193662 	14.073 	0.2 	0.0825093 	0.0254848 	92
92 	0.19343 	14.196 	0.2 	0.0828176 	0.025533 	93
93 	0.192885 	14.121 	0.2 	0.0835659 	0.0256618 	94
94 	0.192885 	14.158 	0.2 	0.0835662 	0.0256612 	95
95 	0.192822 	14.104 	0.2 	0.0836567 	0.0256325 	96
96 	0.192586 	14.049 	0.2 	0.0839933 	0.0256717 	97
97 	0.192157 	14.065 	0.2 	0.0846187 	0.025758 	98
98 	0.192157 	14.146 	0.2 	0.084619 	0.0257573 	99
99 	0.192093 	14.013 	0.2 	0.0847162 	0.0257254 	100
100 	0.191833 	14.009 	0.2 	0.0851073 	0.0257417 	101
101 	0.191483 	14.086 	0.2 	0.085646 	0.0257771 	102
102 	0.191482 	14.071 	0.2 	0.085647 	0.0257748 	103
103 	0.191415 	14.093 	0.2 	0.085755 	0.0257408 	104
104 	0.191144 	14.126 	0.2 	0.0861841 	0.0257594 	105
105 	0.190659 	14.087 	0.2 	0.0869716 	0.0258404 	106
106 	0.190658 	14.075 	0.2 	0.0869719 	0.0258397 	107
107 	0.190597 	14.103 	0.2 	0.0870765 	0.0258022 	108
108 	0.190327 	14.065 	0.2 	0.0875305 	0.0258032 	109
109 	0.189986 	14.077 	0.2 	0.0881141 	0.0258437 	110
110 	0.189986 	14.036 	0.2 	0.0881144 	0.0258428 	111
111 	0.189882 	14.044 	0.2 	0.0883021 	0.025759 	112
112 	0.189677 	14.028 	0.2 	0.0886649 	0.0257536 	113
113 	0.189269 	14.138 	0.2 	0.0894049 	0.0257739 	114
114 	0.189269 	13.999 	0.2 	0.0894052 	0.025773 	115
115 	0.189221 	14.098 	0.2 	0.0894954 	0.025738 	116
116 	0.189068 	13.995 	0.2 	0.0897827 	0.0257399 	117
117 	0.188631 	14.04 	0.2 	0.0906183 	0.0257692 	118
118 	0.188631 	14.091 	0.2 	0.0906187 	0.0257679 	119
119 	0.188605 	14.116 	0.2 	0.0906716 	0.025744 	120
120 	0.188376 	14.083 	0.2 	0.0911271 	0.0257309 	121
121 	0.187994 	14.073 	0.2 	0.0919066 	0.025722 	122
122 	0.187994 	14.019 	0.2 	0.0919071 	0.0257206 	123
123 	0.187959 	14.229 	0.2 	0.0919819 	0.0256814 	124
124 	0.187783 	14.027 	0.2 	0.0923506 	0.0256696 	125
